"","gsis_id","num_seasons","total_receptions","total_targets","total_rec_yards","total_receiving_tds","total_receiving_air_yards","total_yac","avg_tgt_share","avg_ay_share","avg_wopr","season_draft","round_draft","pick_draft","clean_team_draft","pfr_player_name_draft","age_draft","season_roster","clean_team_enter_fifth","same_team"
"1","00-0029137",4,252,437,3728,24,5627,1123,0.243772701704334,0.365418779215153,0.621452198007108,2012,2,45,"CHI","Alshon Jeffery",22,2016,"CHI",1
"2","00-0029209",3,32,51,420,2,458,199,0.0618056510683513,0.0622799610284522,0.136304449322443,2012,2,54,"DET","Ryan Broyles",24,NA,NA,0
"3","00-0029262",4,188,328,2648,20,4035,708,0.152095635600885,0.210387319579891,0.375414577107251,2012,2,63,"NYG","Rueben Randle",21,2016,"PHI",0
"4","00-0029269",4,109,221,1683,10,3204,489,0.113937188784172,0.202988883738019,0.312998001792872,2012,4,100,"CLE","Travis Benjamin",22,2016,"LAC",0
"5","00-0029271",1,1,1,7,0,2,5,0.037037037037037,0.00558659217877095,0.0594661700806952,2012,4,104,"CAR","Joe Adams",22,NA,NA,0
"6","00-0029293",3,149,239,1925,15,2940,579,0.162476699149558,0.223622465395153,0.400250774500943,2012,5,166,"CIN","Marvin Jones",22,2016,"DET",0
"7","00-0029415",4,90,164,1068,7,1490,373,0.0833795052445651,0.0983665040833516,0.193925810725194,2012,4,121,"HOU","Keshawn Martin",22,2016,"NE",0
"8","00-0029548",1,12,26,203,1,476,74,0.0518790108047085,0.0802198253970662,0.133972393985009,2012,6,206,"IND","LaVon Brazill",23,NA,NA,0
"9","00-0029572",4,127,198,1796,7,2170,742,0.127493101248584,0.17630022729824,0.314649810981644,2012,4,118,"MIN","Jarius Wright",22,2016,"MIN",1
"10","00-0029580",4,107,170,1396,8,1772,459,0.11426134798073,0.147331833121871,0.274524305156404,2012,7,227,"MIA","Rishard Matthews",22,2016,"TEN",0
"11","00-0029608",4,319,558,5017,26,7120,1695,0.209883430678651,0.29820839409088,0.523571021881592,2012,3,92,"IND","T.Y. Hilton",22,2016,"IND",1
"12","00-0029614",4,127,291,2132,6,3981,682,0.121197058056228,0.207893427945865,0.327320986646448,2012,4,96,"LAR","Chris Givens",22,2016,"PHI",0
"13","00-0029632",4,159,264,1854,11,2351,877,0.149238163958991,0.150713477888553,0.329356680460473,2012,3,83,"CIN","Mohamed Sanu",23,2016,"ATL",0
"14","00-0029638",4,216,403,3344,21,5937,768,0.172971781035586,0.25764349512698,0.439808118142265,2012,1,13,"ARI","Michael Floyd",22,2016,"ARI",1
"15","00-0029640",4,64,132,935,7,1852,239,0.0995283687023657,0.168924011817996,0.267539361326146,2012,2,33,"LAR","Brian Quick",23,2016,"LAR",1
"16","00-0029654",3,18,34,250,0,334,113,0.0611355347148505,0.080449087109953,0.148017663049243,2012,1,30,"SF","A.J. Jenkins",22,NA,NA,0
"17","00-0029660",3,60,132,857,5,1994,299,0.0778042538586166,0.149769416653532,0.221544972445398,2012,3,69,"BUF","T.J. Graham",23,2016,"PHI",0
"18","00-0029667",2,21,35,283,1,529,51,0.0770362346058941,0.13589064447936,0.210677803044393,2012,4,122,"NO","Nick Toon",23,2016,"LAR",0
"19","00-0029673",3,25,45,319,1,474,112,0.0667536885099386,0.10073425011328,0.170644507844204,2012,3,68,"HOU","DeVier Posey",22,NA,NA,0
"20","00-0029702",2,19,41,183,1,309,89,0.124834759453969,0.158449494035045,0.298166785005486,2012,5,168,"LV","Juron Criner",22,NA,NA,0
"21","00-0029707",1,64,132,865,5,1420,284,0.2302098773876,0.287485477157622,0.546554650091735,2012,1,5,"JAX","Justin Blackmon",22,NA,NA,0
"22","00-0029708",4,251,397,2828,15,3311,1370,0.217305813907766,0.209145290914452,0.472360424501766,2012,1,20,"TEN","Kendall Wright",22,2016,"TEN",1
"23","00-0030047",3,39,70,637,2,951,245,0.100676939776677,0.162180802156147,0.264541971174318,2013,7,236,"CHI","Marquess Wilson",20,NA,NA,0
"24","00-0030068",4,49,111,780,6,1844,151,0.109292377602527,0.183690014771046,0.292521576743522,2013,3,78,"BUF","Marquise Goodwin",22,2017,"SF",0
"25","00-0030085",4,172,287,2855,20,4229,692,0.12687992489681,0.230102001669981,0.351391288514202,2013,5,144,"NO","Kenny Stills",21,NA,NA,0
"26","00-0030091",1,5,10,123,1,252,35,0.0622127872127872,0.200843186718831,0.233909411522362,2013,5,161,"DEN","Tavarres King",23,2017,"NYG",0
"27","00-0030113",2,29,50,359,0,655,98,0.0806407527828901,0.131495553108837,0.213008016350521,2013,7,216,"GB","Charles Johnson",24,NA,NA,0
"28","00-0030279",4,229,333,2780,18,2977,1000,0.226818745298169,0.27047745482789,0.529562336326777,2013,3,76,"LAC","Keenan Allen",21,2017,"LAC",1
"29","00-0030290",1,1,6,8,0,68,4,0.125937031484258,0.153832348762432,0.296588191360089,2013,6,197,"CIN","Cobi Hamilton",22,NA,NA,0
"30","00-0030431",4,203,345,2451,12,3784,588,0.190433587860704,0.24298502980877,0.455739902657195,2013,2,41,"BUF","Robert Woods",21,2017,"LAR",0
"31","00-0030450",4,75,135,905,1,1222,422,0.108804458612773,0.144922892778063,0.264652712863804,2013,4,128,"SF","Quinton Patton",23,NA,NA,0
"32","00-0030460",4,119,206,1627,8,2732,404,0.102048780239103,0.155458333558898,0.261894003849883,2013,3,79,"PIT","Markus Wheaton",22,2017,"CHI",0
"33","00-0030474",1,9,19,121,0,156,78,0.0695055638866287,0.0780076718700343,0.158863716138967,2013,4,102,"NE","Josh Boyce",22,NA,NA,0
"34","00-0030516",4,70,140,1118,5,1768,325,0.106248962177787,0.155293553909467,0.268078931003308,2013,7,209,"LV","Brice Butler",23,2017,"DAL",0
"35","00-0030521",4,78,164,1305,12,2528,332,0.120000392937028,0.194883992435969,0.31641938411072,2013,2,34,"TEN","Justin Hunter",22,2017,"PIT",0
"36","00-0030525",4,181,306,1642,12,2115,1019,0.166972131670151,0.151932817802017,0.356811169966638,2013,1,8,"LAR","Tavon Austin",23,2017,"LAR",1
"37","00-0030532",2,29,50,408,1,542,117,0.117110476101148,0.161318750111022,0.288588839229438,2013,3,92,"LAR","Stedman Bailey",22,NA,NA,0
"38","00-0030540",3,55,101,731,4,1332,241,0.100316727699884,0.146215033146641,0.252825614752475,2013,2,59,"NE","Aaron Dobson",22,NA,NA,0
"39","00-0030542",4,185,307,2989,23,4233,869,0.151519583776863,0.255181585283218,0.405906485363548,2013,3,74,"DAL","Terrance Williams",23,2017,"DAL",1
"40","00-0030547",4,47,67,310,0,-79,387,0.0529362455842338,-0.0172659193968371,0.0673182247985648,2013,5,135,"JAX","Denard Robinson",22,NA,NA,0
"41","00-0030550",1,51,86,484,1,502,297,0.151719605364293,0.142573230652598,0.327380669503258,2013,4,101,"JAX","Ace Sanders",21,NA,NA,0
"42","00-0030564",4,334,590,4688,24,7631,1108,0.250730256741526,0.365773866313994,0.632137091532085,2013,1,27,"HOU","DeAndre Hopkins",21,2017,"HOU",1
"43","00-0030578",4,132,216,1316,7,1596,768,0.10935518678571,0.103169966305018,0.236251756592078,2013,1,29,"MIN","Cordarrelle Patterson",22,2017,"LV",0
"44","00-0030990",3,51,81,523,4,469,372,0.0714769841096618,0.0462390324984844,0.139582798913432,2014,3,86,"PHI","Josh Huff",22,NA,NA,0
"45","00-0031001",4,24,50,345,3,838,70,0.0792517934830713,0.13551457768377,0.213737894603246,2014,7,236,"GB","Jeff Janis",23,NA,NA,0
"46","00-0031021",2,4,9,52,0,56,30,0.0545645530939649,0.0495299742699545,0.116517811629915,2014,5,176,"GB","Jared Abbrederis",23,NA,NA,0
"47","00-0031023",2,80,151,1172,4,1393,500,0.148594228688357,0.151816974666293,0.32916322529894,2014,6,209,"NYJ","Quincy Enunwa",22,2018,"NYJ",1
"48","00-0031025",4,35,47,349,2,273,164,0.0604892548554034,0.0375496089653336,0.117018608558839,2014,7,218,"BAL","Michael Campanaro",23,NA,NA,0
"49","00-0031051",4,184,354,2654,17,5201,693,0.164553699965087,0.232137592111918,0.409326864425973,2014,3,91,"ARI","John Brown",24,2018,"BAL",0
"50","00-0031053",1,3,3,21,0,12,9,0.0222222222222222,0.00968523002421308,0.0401129943502825,2014,4,104,"NYJ","Jalen Saunders",21,NA,NA,0
"51","00-0031068",4,84,143,985,6,1388,381,0.0862702605307966,0.111180907869997,0.207232026305192,2014,5,142,"WAS","Ryan Grant",23,2018,"IND",0
"52","00-0031187",1,6,12,58,1,69,26,0.08317342140618,0.0381127771918118,0.151439076143538,2014,6,185,"TB","Robert Herron",22,NA,NA,0
"53","00-0031189",3,45,82,624,2,899,148,0.0939705983297685,0.150962848107257,0.246629891169733,2014,6,189,"DET","T.J. Jones",22,2018,"DET",1
"54","00-0031235",4,317,509,4452,38,5772,1688,0.268345840563037,0.381346757642925,0.669461491194603,2014,1,12,"NYG","Odell Beckham Jr.",21,2018,"NYG",1
"55","00-0031236",4,290,448,4098,27,5769,1195,0.184786996001108,0.285605237848959,0.477104160495932,2014,1,20,"NO","Brandin Cooks",20,2018,"LAR",0
"56","00-0031257",3,102,171,1414,9,2368,324,0.132964481836972,0.196373235253751,0.336907987433083,2014,2,45,"SEA","Paul Richardson",22,2018,"WAS",0
"57","00-0031291",2,18,35,197,0,457,71,0.0567123215102534,0.0926106062653415,0.149895906651119,2014,7,239,"CIN","James Wright",22,NA,NA,0
"58","00-0031299",4,250,384,2955,20,3354,1168,0.184638790838835,0.211993264517392,0.425353471420426,2014,2,42,"PHI","Jordan Matthews",22,NA,NA,0
"59","00-0031310",2,9,20,132,1,321,18,0.0462151475462834,0.0868581789050965,0.130123446552993,2014,5,146,"DAL","Devin Street",23,NA,NA,0
"60","00-0031315",2,1,2,1,0,4,2,0.0369674185463659,0.00628017095593887,0.0598472474887061,2014,6,190,"MIA","Matt Hazel",22,NA,NA,0
"61","00-0031325",4,193,350,3075,25,5167,765,0.223613844139048,0.371598354984168,0.59553961469749,2014,1,4,"BUF","Sammy Watkins",21,2018,"KC",0
"62","00-0031326",3,48,88,545,4,830,279,0.0900228244886048,0.0845339655256532,0.194208012600864,2014,4,106,"SF","Bruce Ellington",23,2018,"HOU",0
"63","00-0031339",4,157,269,1961,19,3107,641,0.14201068832568,0.193568947996693,0.348514296086205,2014,3,90,"IND","Donte Moncrief",21,2018,"JAX",0
"64","00-0031344",4,38,64,476,3,695,143,0.0628548168473235,0.0767313275679299,0.147994154568536,2014,2,56,"DEN","Cody Latimer",21,2018,"NYG",0
"65","00-0031359",3,196,360,2758,21,4572,572,0.222331522380606,0.299270377995144,0.542986548167509,2014,1,28,"CAR","Kelvin Benjamin",23,2018,"BUF",0
"66","00-0031373",3,102,173,1557,13,2652,523,0.129957138077561,0.248642030492142,0.368985128460841,2014,4,118,"PIT","Martavis Bryant",22,NA,NA,0
"67","00-0031381",4,265,441,3212,30,4653,1230,0.19357089388041,0.249962098990613,0.465329810114044,2014,2,53,"GB","Davante Adams",21,2018,"GB",1
"68","00-0031382",3,299,423,3153,13,2759,1631,0.251480445474047,0.201672436029709,0.518391373431866,2014,2,63,"MIA","Jarvis Landry",21,2018,"CLE",0
"69","00-0031392",1,10,14,38,0,5,36,0.0389183535486794,0.000286946173441221,0.0585783926444279,2014,3,97,"PIT","Dri Archer",23,NA,NA,0
"70","00-0031408",3,238,444,3578,27,6597,584,0.286124154581174,0.412819497899482,0.718159880401398,2014,1,7,"TB","Mike Evans",21,2018,"TB",1
"71","00-0031428",4,202,384,2848,22,5126,727,0.194289968389812,0.303169344506808,0.503653493739484,2014,2,61,"JAX","Allen Robinson",21,2018,"CHI",0
"72","00-0031431",4,178,316,2235,8,3333,920,0.165922192836135,0.224322570423422,0.405909088550598,2014,2,39,"JAX","Marqise Lee",22,NA,NA,0
"73","00-0031544",4,293,493,4101,26,5102,1600,0.209983571859326,0.274940214134511,0.507433507683147,2015,1,4,"LV","Amari Cooper",21,2019,"DAL",0
"74","00-0031545",3,25,48,285,0,631,62,0.147111700559976,0.211011796642302,0.368375808489576,2015,1,7,"CHI","Kevin White",23,NA,NA,0
"75","00-0031547",3,110,190,1602,8,2410,440,0.172661627358153,0.254400585462621,0.437072850861064,2015,1,14,"MIA","DeVante Parker",22,2019,"MIA",1
"76","00-0031549",4,204,332,2357,15,3411,930,0.138820796100385,0.17732725189243,0.332360270475279,2015,1,20,"PHI","Nelson Agholor",22,2019,"PHI",1
"77","00-0031560",3,32,54,347,4,484,111,0.0839414120084085,0.0839579575324596,0.184682688285334,2015,3,70,"HOU","Jaelen Strong",21,NA,NA,0
"78","00-0031570",4,79,122,772,9,1014,262,0.0828608422929451,0.0860157710056725,0.184502303143388,2015,4,107,"ATL","Justin Hardy",23,2019,"ATL",1
"79","00-0031588",4,320,468,3726,25,4450,1435,0.234388143521354,0.312231082603455,0.57014397310445,2015,5,146,"MIN","Stefon Diggs",21,2019,"MIN",1
"80","00-0031600",2,25,48,205,0,436,42,0.0772933652463366,0.0718590904607013,0.166241411191996,2015,5,175,"HOU","Keith Mumphery",23,NA,NA,0
"81","00-0031610",3,18,29,178,2,219,108,0.0588852158074243,0.0631007394304516,0.132498341312453,2015,6,204,"BAL","Darren Waller",22,NA,NA,0
"82","00-0031934",2,10,31,135,1,623,24,0.113195807034549,0.180123205516456,0.295879954413343,2015,2,37,"NYJ","Devin Smith",23,2019,"DAL",0
"83","00-0031941",4,224,333,2643,14,2463,1290,0.175318742280105,0.167838344926878,0.380464954868973,2015,4,105,"WAS","Jamison Crowder",22,2019,"NYJ",0
"84","00-0031953",3,2,6,21,0,41,8,0.0270057050539907,0.0199154786150815,0.0544493926115431,2015,6,186,"NYG","Geremy Davis",23,2019,"LAC",0
"85","00-0031962",1,1,1,15,0,10,5,0.0454545454545455,0.0571428571428571,0.108181818181818,2015,7,238,"CIN","Mario Alford",23,NA,NA,0
"86","00-0032054",3,59,126,916,5,1894,246,0.0917472445007924,0.180993158595877,0.264316077768303,2015,1,26,"BAL","Breshad Perriman",21,2019,"TB",0
"87","00-0032112",4,84,185,1472,10,3347,313,0.0946949012575289,0.180669710891954,0.268511149510661,2015,5,159,"ARI","JJ Nelson",23,2019,"LV",0
"88","00-0032115",1,9,24,117,0,362,35,0.0708551364729854,0.123748029313658,0.192906325229038,2015,6,184,"TB","Kaelin Clay",23,NA,NA,0
"89","00-0032120",3,24,35,239,0,252,119,0.0842333679556318,0.0697738369031502,0.175191737765653,2015,7,220,"JAX","Neal Sterling",23,NA,NA,0
"90","00-0032123",1,8,15,144,0,213,50,0.0954899267399267,0.154859457905565,0.251636510643786,2015,7,245,"TEN","Tre McBride",22,NA,NA,0
"91","00-0032128",4,112,184,1299,7,1762,447,0.106254768279353,0.151020878732338,0.265096767531667,2015,3,76,"KC","Chris Conley",22,2019,"JAX",0
"92","00-0032166",4,33,72,623,2,1327,185,0.0718520239365476,0.110485195002629,0.185117672406662,2015,3,87,"PIT","Sammie Coates",22,NA,NA,0
"93","00-0032170",3,30,51,185,2,338,86,0.0669528875229837,0.059221803523568,0.141884593750973,2015,5,139,"JAX","Rashad Greene",22,NA,NA,0
"94","00-0032188",1,0,1,0,0,7,0,0.024390243902439,0.0236486486486486,0.0531394199077126,2015,4,123,"CLE","Vince Mayle",24,NA,NA,0
"95","00-0032200",4,117,160,969,3,246,902,0.115727387190359,0.0386843246166459,0.200670108017191,2015,3,94,"GB","Ty Montgomery",22,NA,NA,0
"96","00-0032208",4,102,169,1357,8,2268,389,0.0930229967576427,0.145166321734341,0.241150920350502,2015,1,29,"IND","Phillip Dorsett",22,2019,"NE",0
"97","00-0032211",4,202,291,3011,20,3784,924,0.150763851353899,0.209803004973414,0.373007880512238,2015,3,69,"SEA","Tyler Lockett",22,2019,"SEA",1
"98","00-0032218",2,68,141,941,6,1641,289,0.139522716010882,0.198323707196799,0.348110669054082,2015,2,40,"TEN","Dorial Green-Beckham",22,NA,NA,0
"99","00-0032385",4,251,388,2925,17,3743,1042,0.197536472124586,0.242006562033586,0.465709301610389,2016,2,40,"NYG","Sterling Shepard",23,2020,"NYG",1
"100","00-0032398",4,47,86,511,4,1044,124,0.0628583635654839,0.0956852030534863,0.161267187485666,2016,4,107,"BAL","Chris Moore",23,2020,"BAL",1
"101","00-0032423",3,16,25,205,1,232,107,0.0529005519365843,0.0645609502901045,0.12454349310795,2016,5,163,"GB","Trevor Davis",23,NA,NA,0
"102","00-0032441",1,7,16,88,0,139,43,0.0655936183789445,0.0746539408799795,0.150648186184402,2016,6,213,"SF","Aaron Burbridge",22,NA,NA,0
"103","00-0032760",3,81,162,1100,8,2317,278,0.132510379295617,0.231456149263649,0.36078487342798,2016,1,22,"WAS","Josh Doctson",23,NA,NA,0
"104","00-0032765",4,508,655,6005,35,5540,2148,0.274407542247821,0.347082532668065,0.654569086239377,2016,2,47,"NO","Michael Thomas",23,2020,"NO",1
"105","00-0032775",3,83,138,1068,9,1617,301,0.0934564415946272,0.122297942544884,0.22579322217336,2016,4,126,"KC","Demarcus Robinson",21,2020,"KC",1
"106","00-0032778",3,93,171,1173,8,2172,233,0.127269477097,0.183659292348311,0.319465720289317,2016,5,140,"TEN","Tajae Sharpe",21,2020,"MIN",0
"107","00-0032791",3,40,68,432,2,678,227,0.0844602405748086,0.0696915619257479,0.175474454210236,2016,6,186,"MIA","Jakeem Grant",23,2020,"MIA",1
"108","00-0032795",4,33,64,388,1,726,157,0.104170658271447,0.166024917381883,0.272473429574488,2016,6,199,"CIN","Cody Core",22,NA,NA,0
